ID,start,end,role
1,1/02/2015,6/07/2017,Postgraduate representative to the School of Earth and Environment
2,28/01/2016,28/03/2016,"Co-Convenor, SEE LearnR Workshop"
3,18/08/2017,18/08/2017,"Participant, Science in Schools Program"
4,1/10/2014,1/10/2014,"Guest presenter, ENVT2221: Global Climate Change and Biodiversity"
5,17/08/2021,,"Executive Committee Member, Australasian Quaternary Association"
6,19/07/2022,19/07/2022,"Session Co-Chair, Climate Change the Karst Record IX"
7,2/11/2022,2/11/2022,University Of Wollongong Honours thesis examiner
8,24/04/2023,24/04/2023,"Session Convenor, EGU General Assembly 2023"
9,21/07/2023,21/07/2023,"Session Convenor, INQUA Roma 2023"
10,2/05/2025,2/05/2025,"Session Convenor, EGU General Assembly 2025"
11,1/09/2024,,"Organiser - Vonhof Group Journal Club, MPIC"
12,1/10/2024,,"Organiser - Climate Geochemistry Shut Up and Write, MPIC"
